strategy,runtime_ms,GFLOPS
CPU NumPy,221.7527930624783,619.7845428412571
PyTorch CUDA GEMM,2.9765707440674305,46173.5887668479
Naive CUDA,38.974559400230646,3526.376066516525
Tiled CUDA,21.178898867219687,6489.428668301803
